DHSID,DHSCLUST,ID_1
CI201200000001,1,16
CI201200000002,2,11
CI201200000003,3,5
CI201200000004,4,19
CI201200000005,5,17
CI201200000006,6,13
CI201200000007,7,13
CI201200000008,8,5
CI201200000009,9,9
CI201200000010,10,5
CI201200000011,11,17
CI201200000012,12,3
CI201200000013,13,7
CI201200000014,14,3
CI201200000015,15,1
CI201200000016,16,9
CI201200000017,17,13
CI201200000018,18,19
CI201200000019,19,9
CI201200000020,20,19
CI201200000021,21,9
CI201200000022,22,5
CI201200000023,23,12
CI201200000024,24,17
CI201200000025,25,19
CI201200000026,26,12
CI201200000027,27,3
CI201200000028,28,5
CI201200000029,29,3
CI201200000030,30,19
CI201200000031,31,8
CI201200000032,32,7
CI201200000033,33,7
CI201200000034,34,5
CI201200000035,35,19
CI201200000036,36,7
CI201200000037,37,19
CI201200000038,38,3
CI201200000039,39,17
CI201200000040,40,11
CI201200000041,41,3
CI201200000042,42,12
CI201200000043,43,12
CI201200000044,44,5
CI201200000045,45,14
CI201200000046,46,18
CI201200000047,47,11
CI201200000048,48,17
CI201200000049,49,4
CI201200000050,50,14
CI201200000051,51,17
CI201200000052,52,14
CI201200000053,53,15
CI201200000054,54,5
CI201200000055,55,9
CI201200000056,56,12
CI201200000057,57,3
CI201200000058,58,9
CI201200000059,59,17
CI201200000060,60,17
CI201200000061,61,8
CI201200000062,62,3
CI201200000063,63,9
CI201200000064,64,8
CI201200000065,65,12
CI201200000066,66,7
CI201200000067,67,9
CI201200000068,68,6
CI201200000069,69,6
CI201200000070,70,3
CI201200000071,71,9
CI201200000072,72,3
CI201200000073,73,10
CI201200000074,74,17
CI201200000075,75,9
CI201200000076,76,9
CI201200000077,77,17
CI201200000078,78,6
CI201200000079,79,13
CI201200000080,80,12
CI201200000081,81,15
CI201200000082,82,19
CI201200000083,83,8
CI201200000084,84,2
CI201200000085,85,14
CI201200000086,86,12
CI201200000087,87,19
CI201200000088,88,13
CI201200000089,89,10
CI201200000090,90,12
CI201200000091,91,17
CI201200000092,92,5
CI201200000093,93,9
CI201200000094,94,3
CI201200000095,95,18
CI201200000096,96,10
CI201200000097,97,9
CI201200000098,98,8
CI201200000099,99,12
CI201200000100,100,7
CI201200000101,101,17
CI201200000102,102,9
CI201200000103,103,3
CI201200000104,104,3
CI201200000105,105,14
CI201200000106,106,18
CI201200000107,107,3
CI201200000108,108,17
CI201200000109,109,19
CI201200000110,110,9
CI201200000111,111,3
CI201200000112,112,17
CI201200000113,113,5
CI201200000114,114,9
CI201200000115,115,12
CI201200000116,116,9
CI201200000117,117,5
CI201200000118,118,14
CI201200000119,119,3
CI201200000120,120,14
CI201200000121,121,3
CI201200000122,122,6
CI201200000123,123,7
CI201200000124,124,10
CI201200000125,125,7
CI201200000126,126,8
CI201200000127,127,5
CI201200000128,128,4
CI201200000129,129,1
CI201200000130,130,5
CI201200000131,131,1
CI201200000132,132,14
CI201200000133,133,19
CI201200000134,134,8
CI201200000135,135,4
CI201200000136,136,9
CI201200000137,137,12
CI201200000138,138,19
CI201200000139,139,14
CI201200000140,140,19
CI201200000141,141,12
CI201200000142,142,9
CI201200000143,143,19
CI201200000144,144,14
CI201200000145,145,19
CI201200000146,146,12
CI201200000147,147,12
CI201200000148,148,11
CI201200000150,150,14
CI201200000151,151,9
CI201200000152,152,8
CI201200000153,153,4
CI201200000154,154,12
